City Name,Latitude,Longitude,Temerature,Wind Speed,Clouds,Humidity,Country,Date
neuquen,-38.9516,-68.0591,58.89,6.91,0,44,AR,1650760041
lompoc,34.6391,-120.4579,62.6,28.77,0,61,US,1650760042
taywarah,33.35,64.4167,48.4,3.0,75,46,AF,1650760042
tual,-5.6667,132.75,83.77,4.59,63,71,ID,1650760042
luau,-10.7073,22.2247,63.5,3.0,74,95,AO,1650760043
batemans bay,-35.7167,150.1833,65.1,3.85,11,71,AU,1650760043
solnechnyy,50.7214,136.6319,30.79,1.97,100,98,RU,1650760044
balakhninskiy,58.0106,114.2769,26.06,2.17,95,74,RU,1650760044
pindiga,9.9833,10.9333,84.16,13.62,26,50,NG,1650760045
puerto carreno,6.189,-67.4859,86.68,6.85,45,54,CO,1650760045
guerrero negro,27.9769,-114.0611,63.12,21.7,0,63,MX,1650760045
manavalakurichi,8.1333,77.3,79.47,4.25,89,83,IN,1650760046
fort morgan,40.2503,-103.8,56.05,29.93,0,24,US,1650760046
ust-uda,54.1742,103.0304,27.18,3.69,79,59,RU,1650760047
tabas,33.5959,56.9244,72.3,1.68,1,36,IR,1650760048
menongue,-14.6585,17.691,57.04,2.01,69,72,AO,1650760048
lucapa,-8.4192,20.7447,65.59,2.59,81,95,AO,1650760049
illapel,-31.6308,-71.1653,65.71,2.24,2,61,CL,1650759971
besikduzu,41.052,39.2284,53.49,4.56,2,60,TR,1650760049
jaque,7.5175,-78.1703,78.98,1.1,42,81,PA,1650760049
ancud,-41.8697,-73.8203,52.23,23.09,100,87,CL,1650760050
muncie,40.1934,-85.3864,75.99,1.99,59,49,US,1650760026
hearst,49.6835,-83.6665,39.45,13.82,100,94,CA,1650760050
richards bay,-28.783,32.0377,68.41,4.25,54,95,ZA,1650760051
valdemarpils,57.3707,22.5919,41.85,13.98,76,82,LV,1650760051
mangrol,21.1167,70.1167,80.76,11.92,0,63,IN,1650760051
maarianhamina,60.0973,19.9348,37.26,9.22,0,75,AX,1650760052
mayo,38.8876,-76.5119,62.73,10.0,0,66,US,1650760052
fort saint james,54.4333,-124.25,54.03,8.1,100,40,CA,1650760053
homer,59.6425,-151.5483,46.09,6.91,0,64,US,1650760053
puri,19.8,85.85,81.12,16.37,46,89,IN,1650760054
raahe,64.6833,24.4833,35.69,2.17,34,92,FI,1650760054
kaduy,59.2,37.15,38.14,8.08,100,87,RU,1650760055
dashitou,43.3067,128.5114,54.55,15.99,74,43,CN,1650760055
karacakoy,41.4029,28.3834,57.67,4.25,2,81,TR,1650760056
hailar,49.2,119.7,39.49,13.31,81,51,CN,1650760056
tarbagatay,51.4803,107.3602,32.49,3.18,11,41,RU,1650760057
yenagoa,4.9247,6.2642,77.14,3.56,79,94,NG,1650760057
waddan,29.1614,16.139,61.75,1.92,0,42,LY,1650760058
karratha,-20.7377,116.8463,81.77,5.06,4,41,AU,1650760058
coihueco,-36.6167,-71.8333,56.14,14.97,100,94,CL,1650760059
eirunepe,-6.6603,-69.8736,76.1,1.23,86,90,BR,1650759935
aktau,43.65,51.2,43.38,5.1,0,69,KZ,1650760059
phalodi,27.1333,72.3667,81.5,4.97,53,14,IN,1650760060
den helder,52.9599,4.7593,51.48,20.0,1,77,NL,1650760060
cartagena del chaira,1.3349,-74.8429,75.31,2.84,34,93,CO,1650760060
pitimbu,-7.4706,-34.8086,75.79,7.83,98,84,BR,1650760061
pochutla,15.7432,-96.4661,83.82,7.99,37,55,MX,1650760061
bara,10.3744,10.7288,88.03,13.38,57,40,NG,1650760062
alofi,-19.0595,-169.9187,85.89,4.61,72,62,NU,1650760062
guacui,-20.7756,-41.6794,67.86,3.85,3,80,BR,1650760062
caucaia,-3.7361,-38.6531,74.03,5.75,75,87,BR,1650760063
matay,28.419,30.7792,67.51,13.56,69,37,EG,1650760064
catia la mar,10.6038,-67.0303,84.4,8.05,75,65,VE,1650760064
san patricio,28.017,-97.5169,77.92,18.23,82,69,US,1650760064
antalaha,-14.9003,50.2788,73.8,5.28,92,94,MG,1650760065
whitehorse,60.7161,-135.0538,46.74,18.41,75,42,CA,1650760065
tambovka,50.0969,128.0489,40.95,19.84,34,46,RU,1650760066
rio grande,-32.035,-52.0986,59.95,8.46,0,61,BR,1650760066
hirara,24.8,125.2833,80.87,11.5,40,89,JP,1650760067
codrington,-38.2667,141.9667,59.52,9.01,3,67,AU,1650760067
nampula,-15.1165,39.2666,71.55,8.05,75,94,MZ,1650760068
bud,39.447,-86.1758,77.52,11.97,73,46,US,1650760068
waingapu,-9.6567,120.2641,81.93,7.81,81,78,ID,1650760068
natal,-5.795,-35.2094,75.42,6.91,20,94,BR,1650759800
tessalit,20.1986,1.0114,78.98,9.33,38,7,ML,1650760069
manzhouli,49.6,117.4333,38.79,12.68,70,61,CN,1650760070
verkhnevilyuysk,63.4453,120.3167,25.57,1.52,97,85,RU,1650760070
saint-pierre,-21.3393,55.4781,70.21,8.05,0,74,RE,1650760070
centralia,46.7162,-122.9543,62.56,5.75,0,49,US,1650760071
laguna,38.421,-121.4238,77.18,11.5,0,21,US,1650760065
ati,13.2154,18.3353,89.62,8.3,92,15,TD,1650760072
krasnoborsk,61.5598,45.934,33.8,4.0,100,97,RU,1650760072
bang rakam,16.7585,100.1174,82.4,5.75,0,74,TH,1650760072
broken hill,-31.95,141.4333,65.91,14.97,100,59,AU,1650760073
mitu,1.1983,-70.1733,78.66,2.06,96,78,CO,1650760073
saint-leu,-21.15,55.2833,69.3,6.11,84,70,RE,1650760074
tambura,5.6,27.4667,69.94,2.55,98,84,SS,1650760074
emba,48.8264,58.1442,43.95,11.16,100,83,KZ,1650760075
camargo,27.6667,-105.1667,91.76,22.26,0,5,MX,1650760075
sakakah,29.9697,40.2064,63.97,10.04,57,67,SA,1650760076
mikuni,36.2171,136.1519,60.71,3.31,100,61,JP,1650760076
klamath falls,42.2249,-121.7817,58.89,4.63,0,20,US,1650760077
nizwa,22.9333,57.5333,76.35,2.53,19,41,OM,1650760077
kathmandu,27.7167,85.3167,61.02,2.3,20,77,NP,1650759963
fredericton,45.9454,-66.6656,39.69,16.11,0,36,CA,1650760077
sidi ali,36.0998,0.4206,53.06,9.17,3,70,DZ,1650760078
vostok,46.4856,135.8833,41.92,14.25,100,82,RU,1650760078
panjab,34.388,67.0233,46.26,2.3,88,66,AF,1650760078
puerto colombia,10.9878,-74.9547,80.69,13.31,63,77,CO,1650760079
upata,8.0086,-62.3989,79.92,6.98,100,56,VE,1650760079
yerbogachen,61.2767,108.0108,26.29,2.68,100,84,RU,1650760079
florianopolis,-27.6146,-48.5012,65.79,5.75,75,72,BR,1650760080
teonthar,24.9833,81.65,84.2,2.59,2,21,IN,1650760080
jardim,-21.4803,-56.1381,76.08,3.71,76,73,BR,1650760081
bathsheba,13.2167,-59.5167,79.41,14.97,20,69,BB,1650760081
caconda,-13.7333,15.0667,56.07,1.48,64,71,AO,1650760081
meulaboh,4.1363,96.1285,78.01,5.37,95,90,ID,1650760082
dzaoudzi,-12.7887,45.2699,82.29,9.22,20,83,YT,1650760082
oranjemund,-28.55,16.4333,54.16,13.44,15,87,NA,1650760083
auki,-8.7676,160.7034,86.58,2.24,74,62,SB,1650760083
rio cuarto,-33.1307,-64.3499,64.89,13.8,0,52,AR,1650760083
san vicente,-26.6167,-54.1333,54.45,2.89,1,87,AR,1650760084
ustye,59.6304,39.736,36.36,6.69,87,86,RU,1650760084
zavetnoye,47.1194,43.8903,49.14,7.29,41,74,RU,1650760085
jalu,29.0331,21.5482,66.47,12.88,0,51,LY,1650760085
boca do acre,-8.7522,-67.3978,76.8,0.76,62,84,BR,1650760085
gunjur,13.2019,-16.7339,71.67,3.44,17,78,GM,1650760086
nioro,13.35,-15.75,81.95,5.28,0,35,GM,1650760086
weligama,5.9667,80.4167,78.01,6.76,93,88,LK,1650760087
kokopo,-4.352,152.2633,83.75,3.04,97,64,PG,1650760087
roma,43.2128,-75.4557,44.74,4.61,100,82,US,1650760087
skibbereen,51.55,-9.2667,49.26,10.89,71,86,IE,1650760088
pangai,-19.8,-174.35,84.31,8.05,40,61,TO,1650760089
ciudad valles,21.9833,-99.0167,91.53,18.32,3,40,MX,1650760089
innisfail,-17.5333,146.0333,76.48,13.4,99,90,AU,1650759823
methoni,36.8197,21.7049,53.46,13.56,1,87,GR,1650760090
ibanda,-2.7974,32.4746,64.53,2.68,100,98,TZ,1650760090
nueva loja,0.0847,-76.8828,72.84,1.81,65,97,EC,1650760090
muscat,23.6139,58.5922,93.22,1.25,25,56,OM,1650759841
rocha,-34.4833,-54.3333,58.12,11.88,0,54,UY,1650759986
asau,46.4333,26.4,49.93,3.0,47,100,RO,1650760091
hay river,60.8156,-115.7999,31.98,6.91,20,80,CA,1650760091
rawson,-43.3002,-65.1023,58.19,26.42,10,35,AR,1650760092
okhotsk,59.3833,143.3,27.82,7.9,39,83,RU,1650760092
puerto quijarro,-17.7833,-57.7667,82.47,3.67,72,62,BO,1650760093
tonj,7.2737,28.6822,79.68,3.65,98,60,SS,1650760093
atascadero,35.4894,-120.6707,70.0,1.01,0,33,US,1650760094
bogale,16.2833,95.4,81.63,4.38,24,76,MM,1650760094
acajutla,13.5928,-89.8275,83.21,6.29,22,68,SV,1650760095
ishim,56.1128,69.4902,28.22,4.12,15,57,RU,1650760095
moissala,8.3404,17.7663,80.87,5.57,82,58,TD,1650760096
keetmanshoop,-26.5833,18.1333,57.15,11.63,1,63,NA,1650760096
labuan,5.2767,115.2417,84.56,2.3,20,84,MY,1650760096
wodonga,-36.1167,146.8833,63.19,4.61,0,88,AU,1650760097
aljezur,37.3191,-8.8033,54.43,4.97,4,91,PT,1650760097
lakselv,70.0513,24.9718,42.62,5.75,100,65,NO,1650760098
matara,5.9485,80.5353,77.4,6.33,93,90,LK,1650760098
port hedland,-20.3167,118.5667,84.25,10.36,3,24,AU,1650759968
tahoua,14.8888,5.2692,86.88,8.21,65,12,NE,1650760099
vavatenina,-17.4667,49.2,71.37,1.86,100,100,MG,1650760099
tornio,65.8481,24.1466,26.62,2.15,9,93,FI,1650760099
buala,-8.145,159.5921,85.89,4.27,43,66,SB,1650760100
imbituba,-28.24,-48.6703,71.85,6.67,8,74,BR,1650760100
nishihara,26.1842,127.7558,77.5,17.27,100,84,JP,1650760101
pacific grove,36.6177,-121.9166,57.42,9.22,0,77,US,1650760101
mapastepec,15.4333,-92.9,83.73,4.47,30,69,MX,1650760102
mishelevka,52.8575,103.1719,31.15,7.83,100,45,RU,1650760102
xiamen,24.4798,118.0819,77.05,2.24,75,88,CN,1650760103
turbat,26.0023,63.044,78.21,1.63,33,68,PK,1650760103
kabinda,-6.1333,24.4833,68.59,2.37,100,95,CD,1650760103
cobija,-11.0267,-68.7692,79.47,2.59,97,76,BO,1650760104
bandarbeyla,9.4942,50.8122,81.23,5.48,24,76,SO,1650760104
taunggyi,20.7833,97.0333,66.88,3.09,18,66,MM,1650760105
ternate,0.8,127.4,82.33,2.48,84,77,ID,1650760105
wangaratta,-36.3667,146.3333,62.82,2.3,0,68,AU,1650760105
san matias,-16.3667,-58.4,81.59,7.54,75,69,BO,1650760106
